image_id,xtl,ytl,xbr,ybr,target
nat_VG09_9.obj_002_0,258,503,151,368,1
nat_VG09_9.obj_002_1,258,502,143,371,1
nat_VG09_9.obj_002_2,259,500,137,374,1
nat_VG09_9.obj_002_3,259,498,134,375,1
nat_VG09_9.obj_002_4,260,496,133,376,1
nat_VG09_9.obj_002_5,261,494,134,376,1
nat_VG09_9.obj_002_6,261,493,136,376,1
nat_VG09_9.obj_002_7,262,491,141,374,1
nat_VG09_9.obj_002_8,263,490,146,372,1
nat_VG09_9.obj_002_9,263,488,153,371,1
nat_VG09_9.obj_002_10,264,487,161,370,1
nat_VG09_9.obj_002_11,265,486,170,367,1
nat_VG09_9.obj_002_12,265,485,180,364,1
nat_VG09_9.obj_002_13,266,486,191,360,1
nat_VG09_9.obj_002_14,267,486,202,355,1
nat_VG09_9.obj_002_15,267,486,213,350,1
nat_VG09_9.obj_002_16,268,487,225,348,1
nat_VG09_9.obj_002_17,268,487,234,346,1
nat_VG09_9.obj_002_18,268,487,237,344,1
nat_VG09_9.obj_002_19,269,488,239,341,1
nat_VG09_9.obj_002_20,263,508,169,395,1
nat_VG09_9.obj_002_21,262,508,163,399,1
nat_VG09_9.obj_002_22,262,509,159,402,1
nat_VG09_9.obj_002_23,262,510,157,404,1
nat_VG09_9.obj_002_24,262,510,157,406,1
nat_VG09_9.obj_002_25,262,511,156,407,1
nat_VG09_9.obj_002_26,262,511,156,408,1
nat_VG09_9.obj_002_27,262,511,158,408,1
nat_VG09_9.obj_002_28,262,512,161,406,1
nat_VG09_9.obj_002_29,262,512,165,403,1
nat_VG09_9.obj_002_30,263,512,170,398,1
nat_VG09_9.obj_002_31,263,512,177,392,1
nat_VG09_9.obj_002_32,263,511,183,384,1
nat_VG09_9.obj_002_33,263,511,191,376,1
nat_VG09_9.obj_002_34,264,511,199,365,1
nat_VG09_9.obj_002_35,264,510,208,355,1
nat_VG09_9.obj_002_36,265,509,217,348,1
nat_VG09_9.obj_002_37,265,509,227,340,1
nat_VG09_9.obj_002_38,265,508,237,331,1
nat_VG09_9.obj_002_39,266,507,244,328,1
nat_VG09_9.obj_002_40,255,504,191,417,1
nat_VG09_9.obj_002_41,255,505,184,424,1
nat_VG09_9.obj_002_42,255,507,179,430,1
nat_VG09_9.obj_002_43,255,509,175,434,1
nat_VG09_9.obj_002_44,255,510,173,437,1
nat_VG09_9.obj_002_45,255,511,172,439,1
nat_VG09_9.obj_002_46,255,512,172,440,1
nat_VG09_9.obj_002_47,255,512,174,438,1
nat_VG09_9.obj_002_48,255,515,176,435,1
nat_VG09_9.obj_002_49,256,517,177,430,1
nat_VG09_9.obj_002_50,256,518,179,423,1
nat_VG09_9.obj_002_51,256,520,183,414,1
nat_VG09_9.obj_002_52,257,521,187,403,1
nat_VG09_9.obj_002_53,257,521,191,390,1
nat_VG09_9.obj_002_54,258,521,195,375,1
nat_VG09_9.obj_002_55,258,521,200,360,1
nat_VG09_9.obj_002_56,258,520,206,347,1
nat_VG09_9.obj_002_57,259,518,213,333,1
nat_VG09_9.obj_002_58,259,517,219,319,1
nat_VG09_9.obj_002_59,260,514,223,319,1
nat_VG09_9.obj_002_60,252,495,213,445,1
nat_VG09_9.obj_002_61,251,497,204,450,1
nat_VG09_9.obj_002_62,251,499,196,453,1
nat_VG09_9.obj_002_63,251,500,190,455,1
nat_VG09_9.obj_002_64,251,501,186,457,1
nat_VG09_9.obj_002_65,250,501,184,459,1
nat_VG09_9.obj_002_66,250,501,182,460,1
nat_VG09_9.obj_002_67,250,503,182,458,1
nat_VG09_9.obj_002_68,250,505,184,454,1
nat_VG09_9.obj_002_69,250,507,187,448,1
nat_VG09_9.obj_002_70,250,508,190,440,1
nat_VG09_9.obj_002_71,250,509,191,430,1
nat_VG09_9.obj_002_72,250,509,191,417,1
nat_VG09_9.obj_002_73,250,508,191,402,1
nat_VG09_9.obj_002_74,250,507,190,385,1
nat_VG09_9.obj_002_75,250,505,191,366,1
nat_VG09_9.obj_002_76,251,504,193,346,1
nat_VG09_9.obj_002_77,251,502,195,326,1
nat_VG09_9.obj_002_78,251,499,194,312,1
nat_VG09_9.obj_002_79,252,496,195,309,1
nat_VG09_9.obj_002_80,242,479,238,480,1
nat_VG09_9.obj_002_81,242,482,228,484,1
nat_VG09_9.obj_002_82,242,483,220,486,1
nat_VG09_9.obj_002_83,242,485,212,488,1
nat_VG09_9.obj_002_84,241,486,206,489,1
nat_VG09_9.obj_002_85,241,486,201,488,1
nat_VG09_9.obj_002_86,241,485,198,483,1
nat_VG09_9.obj_002_87,241,485,196,476,1
nat_VG09_9.obj_002_88,241,485,195,473,1
nat_VG09_9.obj_002_89,241,485,196,466,1
nat_VG09_9.obj_002_90,241,484,197,457,1
nat_VG09_9.obj_002_91,242,482,200,445,1
nat_VG09_9.obj_002_92,242,479,196,430,1
nat_VG09_9.obj_002_93,242,478,191,412,1
nat_VG09_9.obj_002_94,242,478,185,391,1
nat_VG09_9.obj_002_95,242,476,180,369,1
nat_VG09_9.obj_002_96,243,474,177,346,1
nat_VG09_9.obj_002_97,243,471,172,324,1
nat_VG09_9.obj_002_98,243,468,167,309,1
nat_VG09_9.obj_002_99,244,464,163,304,1
nat_VG09_9.obj_002_100,231,448,258,503,1
nat_VG09_9.obj_002_101,230,452,248,509,1
nat_VG09_9.obj_002_102,228,455,240,513,1
nat_VG09_9.obj_002_103,227,458,233,515,1
nat_VG09_9.obj_002_104,225,460,226,514,1
nat_VG09_9.obj_002_105,223,462,221,510,1
nat_VG09_9.obj_002_106,222,463,217,502,1
nat_VG09_9.obj_002_107,220,463,214,491,1
nat_VG09_9.obj_002_108,218,463,210,481,1
nat_VG09_9.obj_002_109,217,462,208,468,1
nat_VG09_9.obj_002_110,215,461,206,458,1
nat_VG09_9.obj_002_111,214,459,206,446,1
nat_VG09_9.obj_002_112,213,456,201,431,1
